code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
002359,北讯集团,3.175,13.0,12.0,13.45,11.4,12.6,115710607.0,16.34175,1442974158.0,60.521,2.134,1413349.288,920487.3782
002358,森源电气,-4.459,15.64,16.3,16.3,15.6,16.37,47927384.0,5.26429,763323382.0,32.583,2.808,1454139.912028,1423905.13792
002357,富临运业,-6.747,6.22,6.58,6.58,6.17,6.67,10718801.0,3.42196,68822659.0,18.894,1.759,194990.180392,194832.796976
002356,赫美集团,9.989,10.35,10.35,10.35,10.35,9.41,1272250.0,0.26492000000000004,13167788.0,22.316,3.596,546279.77718,497047.78107
002355,兴民智通,-2.106,8.83,8.98,9.04,8.4,9.02,7445500.0,1.90833,65552985.0,73.583,1.7570000000000001,551681.992977,344509.342698
002354,天神娱乐,-5.112,5.94,6.02,6.51,5.93,6.26,66429493.0,9.64764,412285986.0,5.059,0.588,553692.8826,409002.817608
002353,杰瑞股份,-4.069,19.57,20.22,20.22,19.51,20.4,15351212.0,2.28098,304284310.0,279.571,2.286,1874520.262344,1317080.80484
002352,顺丰控股,-5.07,34.64,36.47,36.47,34.56,36.49,9841072.0,0.8696200000000001,346198872.0,30.929,4.391,15306609.781712,3920030.726152
002351,漫步者,-2.351,6.23,6.25,6.8,6.11,6.38,19038922.0,6.53492,122234363.0,31.15,2.075,370915.51,181505.5676
002350,北京科锐,-2.695,7.22,7.45,7.95,7.2,7.42,20696062.0,4.23696,157351947.0,38.63,2.047,361196.36595,352671.446976
002349,精华制药,-5.147,6.45,6.7,6.85,6.36,6.8,7775660.0,0.9478900000000001,51738855.0,23.403,2.362,539042.22123,529101.84114
002348,高乐股份,-9.693,3.82,4.1,4.11,3.81,4.23,39838880.0,5.3612400000000004,159097194.0,65.636,2.752,361830.4,283860.582078
002347,泰尔股份,-4.959,4.6,4.7,4.84,4.6,4.84,16555236.0,5.18801,77675105.0,-27.845,1.804,206701.25852,146788.7071
002346,柘中股份,-9.191,13.14,14.0,14.26,13.09,14.47,8806301.0,2.24488,121717436.0,22.271,2.8689999999999998,580230.096624,515460.541338
002345,潮宏基,-6.446,5.08,5.35,5.41,5.07,5.43,24288526.0,2.76415,128107273.0,15.394,1.316,459949.655156,446379.20122
002344,海宁皮城,-4.425,5.4,5.55,5.67,5.36,5.65,25646982.0,2.011,141610034.0,23.478,0.933,692682.32484,688681.37682
002343,慈文传媒,-1.048,11.33,11.15,12.28,10.9,11.45,36279467.0,9.02072,418582470.0,8.783,1.911,538117.994238,455669.145767
002342,巨力索具,-8.159,3.94,4.18,4.27,3.92,4.29,38451326.0,4.36384,158197870.0,-218.889,1.568,378240.0,347167.43625
002341,新纶科技,-6.068,11.61,12.12,12.38,11.59,12.36,54651217.0,8.74021,657713686.0,33.858,2.594,1336774.810212,725955.497226
002340,格林美,-5.019,5.11,5.25,5.36,5.09,5.38,159384051.0,4.21238,833911685.0,31.938,2.18,2121123.223303,1933473.496703
002339,积成电子,-6.067,8.36,8.67,8.84,8.35,8.9,14624427.0,4.4426,125906328.0,44.0,1.862,329129.856,275199.6423
002338,奥普光电,-1.006,14.76,14.62,15.22,14.3,14.91,9348481.0,3.89555,137435627.0,92.25,4.4,354240.0,354208.3398
002337,赛象科技,-8.438,5.1,5.36,5.53,5.1,5.57,36709108.0,6.24737,196117967.0,255.0,2.521,300194.0325,299672.39889
002336,人人乐,-7.623,7.15,7.6,7.62,7.1,7.74,6087680.0,1.79445,45144269.0,-5.312,1.804,286000.0,242563.75
002335,科华恒盛,1.305,20.19,19.0,21.0,18.89,19.93,11213060.0,4.97783,223467524.0,13.026,1.6600000000000001,564088.87437,454799.837031
002334,英威腾,-6.222,6.18,6.34,6.65,6.12,6.59,36316883.0,6.21676,230395757.0,20.655,2.594,466111.48878,361021.461396
002333,罗普斯金,-10.0,8.46,8.46,8.85,8.46,9.4,29471741.0,6.07703,252167177.0,-109.161,3.026,425202.6456,410284.38312
002332,仙琚制药,-5.398,7.01,7.32,7.43,7.01,7.41,24240628.0,2.68153,174916946.0,30.478,2.558,642264.728366,633692.567391
002331,皖通科技,-2.076,10.85,10.97,11.48,10.59,11.08,10582309.0,3.41016,117581162.0,45.955,2.337,447166.983865,336694.52005
